

gen best mean std
0 34.143155 -5.260455 6.789547
0 49.065778 -4.113425 8.90326
1 49.065778 -2.819631 10.294462
2 62.856125 -1.659873 12.320328
3 62.856125 -0.988237 13.341098
4 63.388038 0.64045 15.221009
5 63.40118 3.584079 17.127598
6 63.40118 3.634222 18.022797
7 63.40118 5.699468 18.778507
8 85.649708 8.312375 20.018323
9 85.649708 7.912582 19.150354
10 85.649708 9.961157 18.936678
11 85.649708 12.881733 19.45545
12 85.649708 15.287863 19.932456
13 85.649708 14.473759 19.112243
14 85.649708 16.928122 18.711815
15 85.649708 19.485951 19.225893
16 85.649708 18.777096 19.195366
17 85.649708 19.232268 18.82689
18 86.343123 20.262198 18.942311
19 86.343123 20.184701 18.748771
20 86.343123 21.855546 18.693162
21 86.343123 21.208019 18.840079
22 86.343123 22.62495 18.909728
23 86.343123 22.432034 19.273961
24 88.139407 21.535663 18.890989
25 89.022624 22.293738 19.267836
26 89.022624 23.571819 19.437418
27 89.022624 23.467637 20.401871
28 89.022624 22.319957 20.507057
29 89.022624 25.327208 19.366217
30 89.022624 26.257861 19.13113
31 89.022624 25.719933 20.513266
32 89.022624 26.010323 20.877825
33 89.022624 26.614147 20.929274
34 89.022624 27.152749 19.931371
35 89.022624 30.183946 20.843164
36 89.022624 30.115999 21.011129
37 89.022624 28.610391 21.41104
38 89.022624 29.006055 21.701669
39 89.022624 29.048762 21.55108
40 89.022624 31.179176 21.189624
41 89.279448 30.842882 21.026395
42 89.279448 31.604237 21.44841
43 89.279448 30.854418 21.760966
44 89.279448 31.842078 22.734689
45 89.279448 35.299277 20.319916
46 90.234004 35.543544 20.979772
47 90.234004 35.51837 21.646033
48 90.234004 34.814622 20.838695
49 90.234004 36.825475 20.794899
50 90.234004 39.78723 19.588609
51 90.234004 36.911934 20.840737
52 90.234004 36.521337 21.389832
53 90.234004 38.291853 20.743442
54 90.234004 36.759703 21.249865
55 90.234004 37.731014 19.827088
56 90.234004 37.828046 20.493244
57 90.234004 37.673218 20.85875
58 90.234004 38.356032 20.38195
59 91.332428 39.217174 20.820015
60 91.332428 39.43555 20.373127
61 91.332428 38.268926 19.963597
62 91.332428 38.918021 20.21533
63 91.332428 39.061136 19.646203
64 91.332428 39.679008 19.385711
65 91.492114 40.443526 20.078019
66 91.492114 39.394151 21.30574
67 91.492114 40.404959 20.609306
68 91.492114 40.667892 20.7449
69 91.492114 41.135188 20.091342
70 91.492114 40.752797 19.398252
71 91.492114 38.260012 21.119473
72 91.492114 39.389367 20.7521
73 91.492114 39.409325 20.424724
74 91.492114 41.155495 20.386921
75 91.492114 40.925321 19.708546
76 91.492114 40.379473 21.021937
77 91.492114 39.415713 21.445225
78 91.492114 38.38672 20.862421
79 91.492114 40.377155 20.705444
80 91.492114 40.857672 20.342068
81 91.492114 39.72751 22.539279
82 92.454931 39.179213 21.747357
83 92.454931 39.662593 21.726358
84 92.454931 41.388245 21.196861
85 92.454931 41.264682 21.307719
86 92.454931 39.371314 22.158376
87 92.454931 38.223817 22.333393
88 92.454931 39.560523 22.084442
89 92.454931 39.228241 21.588081
90 92.454931 39.493222 21.087167
91 92.454931 39.17148 21.740802
92 92.454931 41.271303 20.995663
93 92.454931 40.008251 21.384212
94 92.454931 42.718737 20.726775
95 92.454931 43.833531 20.239571
96 92.454931 43.358285 20.906031
97 92.454931 40.23563 23.382768
98 92.454931 41.015429 22.552633
99 92.454931 42.034331 21.076077
