

gen best mean std
0 21.434724 -5.319919 4.770555
0 32.00997 -3.725951 6.228067
1 32.00997 -2.388553 7.328549
2 32.292488 -1.002587 8.330464
3 38.033167 -0.064429 9.235946
4 39.980177 0.699295 9.481417
5 39.980177 2.662399 9.897238
6 39.980177 2.770652 9.972428
7 39.980177 3.690273 10.847858
8 39.980177 5.154568 10.180418
9 55.689454 6.105669 10.957167
10 55.689454 6.921391 10.169957
11 55.689454 7.055387 10.962234
12 55.689454 7.432013 10.870273
13 55.689454 8.669163 10.763952
14 55.689454 9.648334 10.745585
15 55.689454 11.177126 9.888003
16 55.689454 11.245333 10.815457
17 55.689454 10.914152 11.184006
18 55.689454 11.602097 10.449631
19 55.689454 11.428708 10.974318
20 55.689454 12.473193 10.583593
21 55.689454 12.833308 11.290829
22 55.689454 14.229954 11.284547
23 55.689454 14.514831 11.912274
24 55.689454 15.019154 11.901868
25 55.689454 13.99652 12.079381
26 55.689454 13.956988 12.177556
27 62.533646 15.422726 13.468678
28 62.533646 15.062241 12.836242
29 62.533646 14.89173 13.603152
30 62.573454 15.967026 13.885406
31 62.573454 16.265996 13.467824
32 62.573454 15.937238 14.051341
33 62.573454 16.148459 14.03946
34 62.573454 16.77902 13.93455
35 67.010063 18.115644 13.795645
36 72.7524 17.894147 15.104598
37 72.7524 19.093812 15.046836
38 72.7524 18.806311 14.644568
39 72.7524 18.179034 13.837121
40 72.7524 19.433292 13.984662
41 72.7524 19.540153 14.804203
42 72.7524 18.846249 14.645334
43 72.7524 19.044325 14.642523
44 72.7524 18.591253 15.16616
45 72.7524 18.684222 14.227263
46 72.7524 19.448306 15.145584
47 72.7524 20.249271 15.207975
48 72.7524 19.5019 15.390815
49 72.7524 20.523325 15.437826
50 72.7524 20.927676 15.007811
51 72.7524 21.330921 15.227512
52 72.7524 22.231478 14.86565
53 72.7524 21.204252 15.104314
54 72.7524 21.503257 14.464424
55 72.7524 21.767155 14.897895
56 72.7524 21.947372 15.149856
57 72.7524 21.081934 15.807211
58 72.7524 21.596955 15.260903
59 72.7524 22.712419 14.930722
60 72.7524 22.343792 15.326571
61 72.7524 22.124458 15.092524
62 72.7524 22.073326 16.066934
63 72.7524 21.251758 15.141021
64 72.7524 22.725757 16.15147
65 72.7524 23.103144 15.177069
66 72.7524 22.888276 15.68921
67 72.7524 23.924831 15.382726
68 72.760634 23.332495 15.923037
69 72.760634 24.074842 14.962781
70 72.760634 24.857079 14.776307
71 72.760634 24.774806 15.649904
72 72.760634 24.705876 15.841184
73 72.760634 22.99125 16.208069
74 72.760634 23.599689 15.523484
75 72.760634 23.783479 15.28311
76 72.760634 23.973508 15.474631
77 72.760634 24.18097 16.306003
78 72.760634 24.973444 15.499676
79 72.760634 25.918013 15.09334
80 72.760634 24.485744 15.748442
81 72.760634 25.583292 16.355347
82 72.760634 25.659246 15.891788
83 72.760634 25.1894 16.097827
84 72.760634 24.161199 15.876504
85 72.760634 25.508672 15.09766
86 72.760634 25.622305 15.495141
87 72.760634 24.426999 15.716647
88 72.760634 24.653054 16.082032
89 72.760634 24.530206 15.707514
90 72.760634 25.486047 15.968811
91 72.760634 26.070528 15.400451
92 72.760634 26.093389 14.850229
93 72.760634 25.950537 15.534553
94 72.760634 25.443054 15.707076
95 72.760634 26.953968 14.708608
96 72.760634 25.299421 15.550185
97 72.760634 26.068962 15.648563
98 72.760634 25.330757 16.31821
99 72.760634 25.799592 16.282139
