

gen best mean std
0 22.365399 -5.061519 4.90686
0 30.528529 -2.287684 7.288131
1 34.400939 -1.036554 8.16443
2 47.31603 0.624135 9.758288
3 47.31603 1.128447 9.756379
4 47.31603 1.490675 10.376896
5 47.31603 3.03228 10.403457
6 48.824435 3.002996 10.941244
7 48.824435 4.048999 10.60611
8 53.61081 5.159882 10.720191
9 53.61081 6.336063 10.957445
10 53.61081 8.081144 10.719066
11 53.61081 8.071555 11.218128
12 60.672384 7.608939 11.806772
13 60.672384 8.67472 11.066209
14 60.672384 9.26923 11.03073
15 60.672384 9.800716 10.498138
16 60.672384 10.635933 10.629116
17 60.672384 10.620632 10.220594
18 60.672384 11.103313 11.180991
19 60.672384 11.401154 10.583211
20 60.672384 11.461173 10.683104
21 60.672384 11.423456 11.179116
22 60.672384 11.367875 10.683099
23 60.672384 12.344466 11.778329
24 60.672384 12.387771 11.493167
25 60.672384 13.562986 10.168112
26 60.672384 12.886211 11.439964
27 60.672384 12.71894 11.326671
28 60.672384 12.610393 11.243093
29 60.672384 12.09717 11.566454
30 60.672384 13.227877 11.044397
31 60.672384 13.524493 11.273108
32 60.672384 12.805834 11.643353
33 60.672384 13.263639 11.026705
34 60.672384 12.825233 11.455564
35 66.606351 14.09234 11.779055
36 66.606351 14.537318 11.58907
37 66.606351 14.272936 11.027705
38 66.606351 14.405516 11.405874
39 67.03483 14.69928 11.999959
40 67.03483 14.777702 12.412632
41 67.03483 15.80931 12.072231
42 67.03483 14.996623 13.103373
43 67.03483 15.043414 12.679837
44 69.793382 16.054121 13.58454
45 69.793382 17.707379 12.822113
46 69.793382 16.258365 13.427078
47 76.818339 17.004923 14.383085
48 76.818339 16.10383 13.908252
49 76.818339 17.478826 13.858341
50 76.818339 19.226678 13.743437
51 76.818339 17.99367 14.367551
52 76.818339 19.916515 15.70487
53 76.818339 20.391284 15.849019
54 76.818339 20.758218 14.984119
55 76.818339 20.575358 15.171767
56 76.818339 22.046437 15.404832
57 76.818339 22.903656 15.737192
58 77.392613 22.298245 15.9074
59 77.392613 22.940452 15.644616
60 77.392613 23.544908 16.153684
61 77.392613 22.278435 16.174593
62 77.392613 23.025413 15.642078
63 77.392613 22.825819 15.815711
64 83.35627 24.383729 16.393763
65 83.35627 24.950149 15.648309
66 83.35627 22.902233 16.959346
67 83.654574 23.280663 16.473546
68 83.654574 24.193553 16.171709
69 83.654574 23.216732 16.974873
70 83.654574 25.298988 16.249897
71 83.654574 25.196325 16.124735
72 83.654574 25.357086 16.132807
73 83.654574 25.620043 16.99179
74 83.654574 26.272353 16.179007
75 83.654574 27.33353 15.374611
76 83.654574 27.973392 16.824791
77 83.654574 28.046418 17.50499
78 84.636083 26.516038 16.853378
79 84.636083 26.985145 17.85557
80 84.636083 29.072479 16.555142
81 84.636083 29.533499 17.698417
82 84.636083 29.033979 16.573588
83 84.636083 29.927316 17.689476
84 84.636083 30.023261 17.896302
85 84.636083 31.348757 17.080233
86 84.636083 31.109695 17.43936
87 84.636083 31.631883 19.147427
88 84.636083 32.046294 18.828165
89 84.636083 31.470791 18.493078
90 84.636083 31.169367 17.28846
91 84.636083 30.712521 18.775668
92 84.636083 30.978655 17.597931
93 84.636083 30.231278 18.026107
94 84.636083 30.123102 18.338164
95 84.636083 32.529705 17.010319
96 85.53045 30.701689 18.711046
97 85.53045 32.924096 18.642755
98 85.53045 34.038793 19.41826
99 85.53045 32.495773 18.428741
