

gen best mean std
0 27.433846 -5.033756 4.740743
0 34.889105 -3.740908 6.306991
1 34.889105 -2.840325 7.318445
2 34.889105 -2.015304 8.370613
3 34.889105 -0.72289 9.362153
4 41.085254 -0.624151 9.809723
5 41.085254 1.014743 9.981122
6 41.235037 2.208544 10.634006
7 41.235037 3.428665 11.277907
8 49.899443 5.282202 10.861616
9 49.899443 4.928802 11.092462
10 51.822262 5.746366 10.806558
11 67.689248 6.702575 11.383586
12 67.689248 7.548229 11.066668
13 67.689248 7.866764 11.020297
14 67.689248 8.832079 10.605675
15 67.689248 9.606407 10.483095
16 67.689248 9.504362 10.747365
17 67.689248 10.446329 10.889374
18 67.689248 11.368101 10.744076
19 67.689248 11.551717 10.940773
20 67.689248 12.796342 10.589226
21 67.689248 12.304239 11.34952
22 67.689248 12.73099 12.067448
23 67.689248 13.030709 11.44947
24 67.689248 13.120758 12.418264
25 67.689248 14.678622 11.674728
26 67.689248 14.75154 12.231309
27 67.892657 13.421852 13.51744
28 67.892657 15.218821 13.838037
29 67.892657 15.415727 12.980301
30 67.892657 16.457233 13.795469
31 70.157642 16.108606 13.853369
32 70.157642 17.679034 13.707967
33 70.157642 17.882538 14.498521
34 70.157642 18.627272 14.1746
35 70.157642 18.447739 13.464144
36 70.157642 19.25978 14.308317
37 70.157642 18.460101 14.580185
38 70.157642 19.263182 14.755558
39 70.397563 19.882602 15.299348
40 70.397563 20.714018 14.595307
41 70.397563 20.579685 14.756839
42 70.397563 20.920523 14.894963
43 70.596623 20.175352 14.254526
44 70.596623 20.797166 15.980031
45 70.596623 21.621657 14.884193
46 70.596623 21.511862 15.513803
47 70.596623 22.026167 14.327047
48 70.596623 23.409627 14.910058
49 70.596623 23.577323 15.330397
50 70.596623 25.31978 15.326045
51 70.596623 23.894673 15.952913
52 70.631223 24.59904 15.717533
53 70.631223 23.497003 15.705367
54 70.631223 24.553554 16.300741
55 70.631223 24.794265 14.952904
56 70.631223 23.375122 16.68155
57 70.631223 24.839527 16.61622
58 70.631223 23.732013 16.640811
59 70.631223 24.134704 15.7691
60 70.631223 25.925768 15.603909
61 76.843541 23.844592 16.890666
62 76.843541 25.110286 16.385672
63 76.843541 26.026261 16.613108
64 77.281776 25.966154 16.988856
65 77.281776 26.614678 16.830266
66 77.281776 26.005933 15.963269
67 77.302606 26.362832 16.340366
68 77.302606 27.975057 16.993843
69 77.302606 26.507737 15.758992
70 77.302606 28.057674 15.663696
71 77.302606 26.97876 16.735876
72 77.302606 25.368927 16.92409
73 77.302606 27.067678 15.862696
74 77.302606 26.5079 16.018347
75 77.302606 27.144337 16.560054
76 77.302606 28.019561 16.037285
77 77.466734 27.216793 16.330437
78 77.466734 26.547516 15.246145
79 77.466734 28.410866 15.49888
80 77.643062 28.303173 16.123955
81 77.643062 26.854233 15.698202
82 77.643062 28.244529 15.218673
83 77.643062 29.367826 16.132485
84 77.643062 29.225481 15.538231
85 77.643062 29.483779 14.320503
86 77.643062 28.695922 15.280817
87 77.643062 28.902317 14.796476
88 77.643062 28.431745 14.86395
89 77.643062 29.894337 14.072037
90 77.643062 28.901826 14.422072
91 77.643062 27.391201 15.160808
92 77.643062 27.511643 15.021505
93 77.643062 28.345403 15.836316
94 77.643062 27.697751 16.132986
95 77.643062 30.679589 15.111981
96 77.643062 29.989779 15.57478
97 77.643062 28.931496 15.212415
98 77.643062 30.056791 15.737509
99 77.643062 29.918502 15.724854
