

gen best mean std
0 69.500942 -5.46051 8.259839
0 69.500942 -3.648368 10.663979
1 69.500942 -2.654959 11.678971
2 69.500942 -1.628236 12.361817
3 69.500942 -0.407189 14.017362
4 69.500942 0.195891 15.412801
5 70.580071 0.671628 15.411764
6 83.88731 2.2867 16.437215
7 83.88731 3.067595 17.172375
8 86.531702 3.452129 17.926233
9 86.531702 5.2826 18.822078
10 86.531702 8.34558 19.941194
11 86.531702 8.671635 19.46732
12 86.531702 12.35737 21.196755
13 86.531702 14.899459 20.076968
14 86.531702 15.737752 20.384671
15 86.531702 15.394515 19.534142
16 86.531702 17.851097 20.866549
17 86.531702 17.887461 19.789862
18 86.531702 20.7512 19.957515
19 86.531702 21.468253 19.402689
20 86.531702 23.11492 19.219034
21 86.531702 23.756517 18.711511
22 86.531702 25.39064 19.727475
23 88.23892 25.921808 20.519488
24 88.23892 27.997238 19.795288
25 88.23892 29.844404 18.117541
26 88.23892 30.466911 20.184591
27 88.23892 30.638788 19.840946
28 88.23892 33.629039 20.388389
29 88.23892 33.827882 21.32854
30 88.23892 33.146223 22.012139
31 88.23892 34.37364 21.025335
32 89.019985 35.611739 21.520749
33 89.019985 36.961681 20.81745
34 89.019985 37.077294 20.466558
35 89.019985 40.795989 20.65475
36 89.019985 35.954811 22.13909
37 89.019985 35.044299 22.788171
38 89.019985 38.3361 20.879832
39 89.019985 37.691329 21.465513
40 89.019985 38.813394 20.980573
41 89.445297 39.042719 21.761445
42 89.445297 36.181318 23.217402
43 89.445297 36.426175 22.803379
44 89.445297 36.515937 22.872506
45 89.445297 36.830275 24.147383
46 89.445297 37.290312 24.776741
47 89.445297 37.422742 25.304889
48 89.445297 34.950481 25.940986
49 89.445297 34.962983 24.106208
50 89.445297 37.717206 22.883435
51 89.445297 35.213506 25.560396
52 89.445297 34.115049 24.31065
53 89.445297 35.697883 24.634121
54 89.445297 38.526713 22.583746
55 89.445297 37.710985 23.34025
56 89.445297 35.415918 26.075635
57 89.445297 36.245429 25.28997
58 89.445297 36.766375 24.629849
59 89.445297 34.815133 25.165892
60 89.445297 38.526033 24.421858
61 89.445297 39.589544 25.500592
62 89.445297 38.254029 25.946023
63 89.445297 38.674923 25.9147
64 89.445297 38.533955 25.30311
65 89.445297 42.753058 24.04587
66 89.445297 41.922986 25.964822
67 89.445297 43.804959 23.975431
68 89.445297 46.689311 23.42687
69 89.672706 49.943704 20.388957
70 89.672706 51.94791 17.574298
71 89.672706 47.849542 20.776089
72 89.672706 50.773074 19.292049
73 89.672706 52.730048 18.361778
74 89.672706 53.444852 17.280272
75 89.672706 53.648727 16.739569
76 89.672706 53.0728 18.293406
77 89.894813 54.883146 17.997892
78 89.894813 55.053737 17.065561
79 89.894813 54.37937 17.935166
80 89.894813 54.448283 16.556059
81 89.894813 53.352202 19.871031
82 89.894813 54.171973 18.422772
83 89.894813 53.983393 18.092269
84 89.894813 53.489047 18.136363
85 89.894813 55.688583 15.887847
86 89.894813 55.796803 17.465024
87 89.894813 56.072739 16.650338
88 89.894813 58.038829 16.390057
89 89.894813 56.499416 17.233341
90 90.031088 57.081378 16.2416
91 90.031088 54.931464 17.297927
92 90.031088 54.071067 17.140253
93 90.031088 55.43208 17.229783
94 90.031088 56.943953 15.987043
95 90.031088 59.170302 15.454184
96 90.031088 57.581948 15.86965
97 90.031088 57.840816 16.703671
98 90.031088 58.065603 16.830705
99 90.031088 58.21273 16.908269
