

gen best mean std
0 25.861936 -4.401214 5.324973
0 34.023967 -3.21947 7.369537
1 34.023967 -2.326753 7.896878
2 34.023967 -2.30003 7.957898
3 34.023967 -1.01639 9.140313
4 34.669951 -1.093168 9.176237
5 36.828237 -0.21788 9.550458
6 36.828237 0.281778 9.458755
7 36.828237 0.450616 9.715704
8 41.672957 1.940937 10.526599
9 46.849708 3.795151 10.752558
10 46.882961 4.309832 10.822436
11 46.882961 4.432645 11.444577
12 55.377502 5.143499 11.379932
13 55.377502 5.901803 11.467756
14 55.377502 7.471513 11.785694
15 55.610088 7.571922 11.749634
16 55.610088 7.970607 11.356325
17 55.610088 8.867867 11.242747
18 57.191883 9.203616 11.625967
19 57.191883 9.787208 12.172884
20 57.191883 10.177127 12.000338
21 57.191883 9.007835 13.01453
22 57.191883 9.229369 12.701454
23 57.191883 9.852301 12.34536
24 57.191883 10.418899 12.695938
25 57.191883 10.804182 11.467927
26 57.191883 10.878806 12.462057
27 57.191883 11.216917 12.354865
28 57.191883 11.492034 12.321517
29 57.191883 12.240307 13.332924
30 63.140521 11.833259 12.416868
31 63.140521 12.342678 12.736823
32 63.140521 13.196392 13.435803
33 63.140521 14.434246 14.027903
34 63.140521 15.322793 14.087651
35 63.140521 16.031529 13.481113
36 63.140521 16.164927 14.786975
37 63.140521 16.997494 14.531882
38 63.140521 17.359413 14.426545
39 63.140521 18.497663 14.882954
40 63.140521 18.547234 14.262288
41 63.140521 17.372634 14.254649
42 63.140521 18.124035 13.790279
43 63.140521 17.738829 14.377065
44 63.140521 18.619174 14.656112
45 63.140521 18.707462 14.350583
46 66.952558 17.598784 15.185577
47 66.952558 18.489097 15.152856
48 66.952558 18.572147 14.89084
49 66.952558 18.836166 15.220533
50 66.952558 19.695009 14.7029
51 66.952558 20.120378 15.517719
52 66.952558 19.979273 15.166613
53 66.952558 20.073231 14.735962
54 66.952558 20.731251 15.570478
55 66.952558 20.784093 15.004095
56 66.952558 20.553387 15.564433
57 67.015302 20.599382 15.907809
58 67.015302 19.575573 15.388702
59 67.015302 19.916719 15.795114
60 67.015302 21.586973 14.988458
61 67.015302 20.735898 16.017038
62 67.015302 20.349419 15.373003
63 67.015302 18.859387 15.403615
64 67.015302 20.084053 16.301582
65 67.015302 21.753221 15.87087
66 67.015302 20.363124 15.386927
67 67.015302 20.122478 15.444738
68 67.015302 19.847844 16.248227
69 67.015302 18.267771 15.777009
70 67.015302 21.350866 16.163687
71 67.015302 19.212044 16.443274
72 67.015302 18.790057 16.803816
73 67.015302 18.80056 17.016265
74 67.015302 19.318828 16.571733
75 67.015302 20.996356 16.727318
76 67.015302 20.314805 17.449281
77 67.015302 20.415297 17.778317
78 67.015302 22.201275 18.022969
79 67.015302 20.991786 17.395656
80 67.015302 23.352005 16.969054
81 67.015302 21.831217 18.077494
82 67.015302 21.339778 17.7473
83 67.055168 23.22307 17.35115
84 67.055168 23.154983 16.918372
85 67.055168 25.393767 17.556073
86 67.055168 24.975019 16.879972
87 67.055168 24.877267 16.933903
88 67.055168 22.764351 17.46633
89 67.055168 23.722846 17.564106
90 69.680069 24.93515 17.572571
91 69.680069 26.458053 17.933181
92 69.723824 25.522282 17.449383
93 69.723824 25.094025 17.775705
94 69.723824 24.616441 16.672668
95 69.723824 25.11134 16.889329
96 69.723824 23.657459 17.097477
97 69.723824 24.008359 16.800312
98 69.723824 23.401306 17.549589
99 69.723824 23.577126 17.331063
