

gen best mean std
0 31.708792 -4.118964 6.126586
0 37.728675 -2.686434 7.720765
1 37.728675 -1.320381 8.974119
2 37.728675 -0.45446 9.461229
3 37.728675 0.453215 9.435783
4 37.728675 2.048808 9.936207
5 37.728675 4.222597 9.828281
6 38.073884 4.261773 10.203864
7 41.817537 4.424168 10.872939
8 41.817537 4.8446 10.568662
9 46.801142 5.977148 10.377875
10 46.801142 7.35607 10.727384
11 46.801142 7.650177 11.360591
12 47.205974 7.605425 11.504926
13 47.205974 7.319558 11.767918
14 51.150857 9.124763 11.834745
15 51.150857 9.876892 11.743615
16 57.713999 9.873397 13.062376
17 57.713999 10.73186 11.9574
18 57.713999 10.581459 12.725526
19 57.713999 12.257916 12.784112
20 60.680029 14.177963 12.150164
21 60.680029 14.221972 13.127555
22 60.680029 14.953761 12.586702
23 60.680029 13.80929 13.67148
24 60.680029 15.033172 13.373649
25 60.680029 15.51351 13.642009
26 60.680029 15.248001 13.430881
27 62.631065 15.669547 14.401393
28 65.797621 16.428818 14.125816
29 65.797621 17.057549 13.653232
30 67.891293 17.17846 13.884454
31 67.891293 15.706772 14.953313
32 67.891293 17.075591 15.444703
33 67.891293 18.863788 15.017857
34 67.891293 17.626144 14.794401
35 67.891293 18.730721 14.937286
36 67.891293 18.153966 15.72756
37 67.891293 18.058183 15.86735
38 67.891293 18.454166 16.060895
39 67.891293 18.353282 16.424262
40 67.891293 18.680641 15.855325
41 67.891293 18.645968 16.725611
42 67.891293 19.780251 16.370589
43 67.891293 19.614246 16.592571
44 69.709786 20.388157 16.894217
45 69.709786 20.103501 16.361137
46 69.709786 20.808404 16.247961
47 69.709786 20.634915 17.54947
48 69.709786 21.439799 16.607616
49 69.709786 22.433164 16.745945
50 69.709786 24.171338 15.808843
51 69.864741 23.981099 16.507896
52 69.864741 25.512807 16.775834
53 69.864741 26.062971 17.492506
54 69.864741 23.046706 17.707621
55 69.864741 26.052339 17.022626
56 69.864741 24.122186 17.635008
57 69.864741 24.735513 17.654822
58 69.872347 25.114216 16.777163
59 69.872347 26.536231 16.989122
60 69.872347 27.741946 18.012939
61 69.872347 27.280865 18.300394
62 69.872347 27.637845 17.93014
63 69.872347 28.296962 18.25088
64 69.872347 26.751798 18.271264
65 69.872347 26.828066 17.397784
66 69.872347 27.538593 18.33378
67 69.872347 29.057391 18.022193
68 69.872347 29.000442 18.531256
69 69.877358 28.767947 18.277453
70 69.877358 29.511849 18.332757
71 69.877358 28.679197 19.203607
72 76.697608 30.115771 19.172457
73 76.697608 29.088559 18.878805
74 76.697608 30.437265 18.890611
75 76.697608 32.287446 18.828866
76 76.697608 29.257464 20.061487
77 76.697608 29.597264 20.405905
78 76.697608 30.979578 19.723756
79 76.697608 29.797934 19.838828
80 76.697608 31.560438 19.073728
81 76.697608 31.031441 18.631105
82 76.697608 29.512498 19.865873
83 76.786708 30.342185 19.819296
84 76.786708 30.900059 19.334548
85 76.786708 31.599543 19.360338
86 76.786708 30.632201 19.420448
87 76.786708 32.23466 19.668709
88 76.786708 30.987146 20.021734
89 76.786708 31.765102 21.532283
90 76.786708 33.431902 20.544955
91 76.786708 32.069194 19.837507
92 76.786708 32.048339 20.167441
93 76.786708 29.631156 19.278629
94 76.786708 32.205312 20.635214
95 76.786708 32.6128 20.000389
96 76.786708 31.02355 20.499511
97 76.786708 31.154123 20.3981
98 76.786708 31.186128 20.048359
99 76.786708 32.647332 19.408695
