

gen best mean std
0 49.022486 -4.687822 7.698738
0 56.187838 -2.946845 10.088587
1 56.2442 -2.889888 11.294265
2 63.589012 -1.327576 13.657719
3 63.589012 -0.874295 14.113246
4 63.589012 0.854514 15.8059
5 63.589012 2.823327 17.027573
6 77.310637 3.295908 17.826837
7 84.367754 4.439511 18.330478
8 86.244226 6.070438 19.185341
9 86.244226 7.423328 20.396331
10 86.244226 8.82178 19.902466
11 86.244226 11.371589 21.173203
12 86.244226 13.721259 21.263255
13 86.244226 16.044347 21.83767
14 86.244226 17.276103 21.344002
15 86.244226 21.649439 21.526902
16 86.244226 24.533481 21.622092
17 86.244226 27.365368 22.55566
18 86.244226 29.18858 21.26506
19 86.244226 32.233778 21.620125
20 86.244226 35.98475 20.132843
21 86.244226 37.510424 19.561803
22 86.244226 40.077169 19.637403
23 89.279608 42.523829 19.313847
24 89.279608 41.731616 20.049487
25 89.279608 43.79568 18.019533
26 89.279608 43.018168 19.862831
27 89.279608 42.693933 18.386428
28 89.279608 45.890729 16.351485
29 89.279608 43.051732 18.500866
30 89.279608 44.086135 17.391831
31 89.279608 45.136722 18.414785
32 89.279608 46.266193 17.805814
33 89.279608 47.650001 15.658197
34 89.279608 45.293024 18.216693
35 89.279608 48.655656 15.265896
36 89.279608 47.608515 17.402493
37 89.279608 46.048815 19.339795
38 89.778161 49.153407 17.941353
39 89.778161 50.137241 15.858205
40 89.778161 49.47327 15.475832
41 89.778161 48.250426 16.785618
42 90.734157 49.376316 17.034208
43 90.734157 46.852928 18.285369
44 90.734157 47.701932 18.290128
45 90.734157 50.620102 16.195753
46 90.734157 48.293379 18.376023
47 90.734157 48.17217 17.775192
48 90.734157 47.853385 18.84861
49 90.734157 48.218174 19.059627
50 90.734157 49.976362 16.904409
51 90.734157 48.528317 18.141658
52 91.966064 51.811503 16.096834
53 91.966064 48.996879 17.912005
54 91.966064 48.356281 18.213547
55 91.966064 50.767913 15.677345
56 91.966064 49.184748 17.638639
57 91.966064 47.518647 19.331356
58 91.966064 47.033392 18.949253
59 91.966064 48.67105 17.331678
60 91.966064 48.55965 18.101436
61 91.966064 45.1585 21.093268
62 91.966064 47.778226 18.230503
63 91.966064 47.942238 17.566149
64 91.966064 47.064658 19.232283
65 91.966064 49.161239 18.009651
66 91.966064 49.051317 17.955092
67 91.966064 45.368797 19.7399
68 91.966064 45.503512 19.46951
69 91.966064 46.557065 17.335758
70 91.966064 46.747545 19.933665
71 91.966064 45.855884 19.043982
72 91.966064 46.229679 19.051945
73 91.966064 45.558099 19.329421
74 91.966064 48.278009 18.554501
75 91.966064 46.759863 19.068949
76 91.966064 47.483135 18.643887
77 91.966064 47.772703 19.741004
78 91.966064 48.684545 17.499488
79 91.966064 49.90099 16.658177
80 91.966064 50.879431 15.065659
81 91.966064 47.587869 17.634656
82 91.966064 48.134873 17.500774
83 91.999666 47.249778 18.4011
84 91.999666 49.316516 15.82913
85 91.999666 49.270127 16.471974
86 91.999666 48.517655 17.163994
87 91.999666 48.409658 18.143592
88 91.999666 49.224913 16.558533
89 91.999666 49.747134 15.615182
90 91.999666 50.473871 15.022295
91 91.999666 49.316436 17.168124
92 91.999666 49.423007 16.10862
93 91.999666 48.806268 16.558162
94 91.999666 51.100158 16.103605
95 91.999666 51.364944 15.11935
96 91.999666 51.062687 16.116871
97 91.999666 48.061003 18.278684
98 91.999666 49.844102 17.590937
99 91.999666 48.025823 18.502675
