

gen best mean std
0 35.933876 -4.73746 5.663774
0 35.933876 -2.961071 7.074661
1 35.933876 -1.744733 7.615003
2 35.933876 0.008493 9.376491
3 37.769831 1.291696 10.504139
4 37.769831 1.065975 10.695533
5 41.303908 2.281923 10.535541
6 41.303908 3.03349 10.790003
7 41.303908 3.416948 11.23058
8 41.303908 5.365285 10.809073
9 41.303908 4.729079 11.045946
10 41.303908 5.716239 11.388558
11 41.303908 5.789992 11.078817
12 41.303908 6.546809 11.584866
13 41.303908 7.308363 11.205394
14 41.303908 7.137639 11.285699
15 52.006857 8.915295 11.230172
16 52.006857 9.146359 11.353645
17 56.923033 9.872199 11.764233
18 56.923033 9.371821 10.939675
19 56.923033 9.979817 10.829156
20 56.923033 9.908628 11.152354
21 56.923033 9.462297 11.748587
22 56.923033 8.9461 12.288529
23 56.923033 9.923214 12.170524
24 56.923033 10.343884 11.350195
25 56.923033 10.726794 11.068309
26 56.923033 11.173338 11.113289
27 56.923033 11.395424 11.16007
28 56.983076 11.411902 11.474391
29 56.983076 10.763635 11.365485
30 56.983076 11.320189 11.107248
31 58.631315 10.666198 11.463305
32 58.67754 11.228842 11.483308
33 58.67754 10.739691 11.781741
34 58.67754 11.31009 11.67777
35 58.67754 11.889523 12.004774
36 60.983441 11.051121 12.748053
37 63.068811 11.460714 12.877282
38 63.068811 11.673696 12.53792
39 63.068811 11.082315 13.531266
40 63.068811 11.562724 12.551616
41 67.650402 11.645455 12.633457
42 67.650402 11.712304 12.405734
43 67.650402 11.071252 12.683931
44 67.650402 12.367228 12.510393
45 67.650402 11.883992 12.48551
46 67.650402 11.639913 13.09991
47 67.650402 11.253192 13.451379
48 67.650402 11.452486 13.598013
49 67.650402 12.956219 13.177384
50 72.511545 12.815688 12.756327
51 72.511545 13.244866 12.988986
52 72.511545 13.864735 12.47141
53 72.511545 13.775803 12.963464
54 72.511545 13.047504 13.577002
55 72.527185 14.054373 13.068199
56 72.527185 13.61866 13.86043
57 72.527185 14.769022 13.751243
58 72.527185 14.288592 14.574358
59 72.527185 14.64004 14.73341
60 72.527185 15.850334 13.805523
61 72.527185 14.865951 14.26575
62 72.527185 14.536658 14.601443
63 72.527185 14.974903 14.890924
64 72.527185 14.761331 14.43892
65 72.527185 15.440781 13.975288
66 72.527185 15.816557 14.917126
67 72.527185 16.430718 16.358048
68 72.527185 16.119191 15.10245
69 72.527185 16.650915 15.689945
70 72.527185 17.500143 16.363818
71 72.527185 17.975057 16.324845
72 72.527185 18.131207 18.195426
73 72.527185 17.812007 16.799558
74 72.527185 19.212798 18.174924
75 72.527185 18.788129 17.66181
76 72.527185 18.73487 19.319072
77 72.527185 20.199525 18.692377
78 72.527185 21.449882 18.707558
79 72.527185 23.399765 19.745483
80 72.527185 26.28934 19.707172
81 72.527185 24.164221 19.851174
82 72.546092 26.454022 19.410552
83 72.546092 29.712672 20.052105
84 72.546092 29.326947 19.56864
85 72.546092 31.213063 19.36226
86 72.546092 30.141301 18.980797
87 72.546092 31.336772 18.976295
88 72.546092 30.322584 19.784053
89 72.546092 30.231675 18.522709
90 72.966209 33.210726 19.066394
91 72.966209 33.906552 19.586702
92 73.278963 34.948147 19.157842
93 73.278963 34.067797 19.400984
94 73.278963 34.61228 18.163063
95 73.278963 36.400504 18.237758
96 73.278963 33.124169 18.046196
97 73.278963 34.712536 17.409796
98 73.278963 35.23669 18.340269
99 73.278963 34.905745 18.554868
