

gen best mean std
0 44.845465 -5.322872 6.622478
0 56.490253 -4.047229 8.508402
1 56.555438 -2.4227 12.10953
2 63.268319 -2.49273 12.173888
3 63.268319 -0.191661 14.751501
4 63.268319 0.878721 14.481945
5 63.268319 2.188854 16.12133
6 63.831095 4.373287 17.188605
7 63.831095 6.044999 17.097117
8 70.109279 8.784498 20.614512
9 70.109279 9.4534 18.585384
10 70.109279 13.952194 20.55377
11 70.109279 13.178 20.059937
12 70.786067 16.863403 20.112985
13 70.786067 19.038836 20.093002
14 89.228779 21.130465 20.789686
15 89.228779 23.511324 19.791009
16 89.228779 26.193783 20.737313
17 89.228779 25.072813 20.454153
18 89.228779 28.055454 20.770296
19 89.228779 27.816405 20.47776
20 89.42967 30.19865 21.063433
21 89.42967 30.108167 20.951113
22 89.42967 31.651812 21.671896
23 89.42967 31.059932 21.667776
24 89.42967 31.906284 21.419638
25 89.42967 35.641331 21.428146
26 90.05828 34.960142 21.358755
27 90.05828 37.28535 20.317509
28 90.05828 37.527958 21.150946
29 90.123436 37.722428 20.38103
30 90.123436 35.951187 21.150269
31 90.123436 36.137171 21.719973
32 90.123436 36.751849 22.475658
33 90.123436 40.72146 20.921167
34 90.123436 41.710164 22.030734
35 90.123436 43.400601 20.017203
36 90.123436 41.669328 21.092923
37 90.123436 42.62871 20.828416
38 90.123436 44.342049 20.345102
39 90.123436 42.683009 20.154343
40 90.123436 44.878094 19.910744
41 90.123436 44.232436 21.666882
42 90.123436 43.595697 21.625599
43 90.123436 45.107255 20.561278
44 90.123436 46.477213 20.07775
45 90.123436 48.030545 19.074465
46 90.123436 46.367274 23.434813
47 90.447921 43.436535 24.180305
48 90.447921 46.483325 22.848558
49 90.447921 47.303735 21.539234
50 90.447921 47.978951 21.424773
51 90.447921 47.057033 20.885706
52 90.447921 46.785946 21.910227
53 90.447921 46.805678 19.783154
54 90.447921 47.107815 19.86787
55 90.447921 48.390053 19.038151
56 90.447921 46.238285 20.529196
57 90.447921 47.529479 20.336562
58 90.447921 48.423966 20.173615
59 90.447921 50.342741 18.389038
60 90.447921 48.714616 18.395345
61 90.829892 49.744013 19.238972
62 90.829892 51.287413 19.212873
63 90.829892 50.675641 20.045148
64 90.829892 51.576827 20.453795
65 90.829892 50.992556 20.632477
66 90.829892 49.647018 23.503791
67 90.829892 47.654617 23.81953
68 90.829892 50.974685 20.638956
69 90.829892 52.776365 20.011278
70 90.829892 54.55287 18.695845
71 90.829892 53.370774 21.604455
72 90.829892 53.078938 21.680352
73 90.829892 55.200428 20.816511
74 90.829892 54.767014 19.684669
75 90.829892 57.37856 18.180661
76 90.829892 51.70958 25.525477
77 90.829892 51.74438 22.801719
78 90.829892 53.72399 22.292884
79 90.829892 52.977942 21.674087
80 90.829892 54.471671 20.144452
81 90.829892 52.664237 22.761727
82 90.829892 54.604574 20.831913
83 90.829892 55.53469 20.637191
84 90.829892 54.693484 21.688507
85 90.829892 55.289332 18.628454
86 90.829892 53.400247 21.245663
87 90.829892 50.808743 21.495661
88 90.829892 53.046171 20.75396
89 90.829892 54.851184 19.718096
90 90.829892 54.095957 20.836051
91 90.829892 53.519592 21.420399
92 90.829892 54.101881 21.245983
93 90.829892 52.631058 23.760705
94 90.829892 53.32092 21.191624
95 90.829892 54.475421 20.17812
96 90.829892 55.637424 20.667549
97 90.829892 56.391356 20.324522
98 90.829892 55.279994 21.544487
99 90.829892 55.001357 21.483774
