Enemy ID,fitness,player_health,enemy_health,time_taken
1,74.98873282559583,0.0,10.0,408
2,90.84704041507838,64.0,0.0,258
3,3.6387078342905745,0.0,90.0,213
4,56.938543081071984,0.0,30.0,429
5,90.57650369121833,61.600000000000335,0.0,266
6,21.906249799193237,0.0,70.0,163
7,86.67616819497442,21.40000000000024,0.0,236
8,88.55606371931285,45.4000000000003,0.0,397
