

gen best mean std
0 25.108491 -4.360718 5.645045
0 33.674213 -2.73544 7.98752
1 47.641991 -1.635072 9.221948
2 47.641991 -1.19857 9.525593
3 55.426962 1.033335 11.127517
4 55.426962 1.034091 10.862617
5 55.426962 2.581173 11.178428
6 55.426962 3.608219 11.222049
7 55.426962 4.929696 11.488062
8 55.426962 5.545584 12.172244
9 55.426962 6.28571 11.874022
10 57.497217 6.339538 11.796777
11 57.497217 7.597712 11.543004
12 57.497217 8.832913 12.019617
13 57.497217 8.782193 12.894151
14 62.367081 7.799738 13.237762
15 62.367081 8.070763 12.120393
16 62.367081 7.648684 12.806283
17 62.367081 8.836897 12.422198
18 62.367081 9.540134 12.829205
19 62.367081 10.059587 12.817391
20 62.367081 9.512245 12.36723
21 62.367081 10.024894 12.278927
22 62.367081 9.886676 12.692096
23 62.367081 10.530738 12.170697
24 62.367081 10.583236 12.561214
25 62.367081 11.282571 11.996473
26 62.367081 12.135741 11.652407
27 62.367081 11.591169 12.339119
28 62.367081 12.219829 11.256407
29 62.513855 12.154682 12.497774
30 62.513855 12.315405 12.246055
31 62.513855 12.653797 12.370868
32 62.513855 12.463192 13.163858
33 62.513855 12.143245 13.01822
34 62.513855 12.97464 12.882648
35 62.513855 14.057394 13.501468
36 62.513855 12.895374 13.70622
37 62.513855 13.677787 13.601742
38 62.513855 14.188554 13.595701
39 62.513855 15.214383 13.805799
40 62.513855 16.386776 14.003837
41 62.513855 15.997668 13.592475
42 62.513855 16.563966 13.577453
43 62.513855 16.612971 13.548042
44 62.513855 17.063939 13.769646
45 62.712247 16.429338 14.810447
46 68.322254 16.441865 14.985599
47 68.322254 16.104924 14.371927
48 68.322254 17.111608 14.221034
49 69.577188 18.090257 15.628606
50 69.577188 17.545914 14.267697
51 69.577188 18.5832 13.994359
52 69.577188 18.714335 15.68115
53 69.577188 17.027518 15.841968
54 69.577188 17.611606 14.823718
55 69.577188 18.551489 15.522638
56 69.577188 17.708237 15.096776
57 69.577188 18.236589 14.960861
58 69.577188 18.70745 15.443691
59 69.577188 18.766335 15.168118
60 69.577188 20.346388 14.738113
61 69.577188 20.147101 16.17328
62 69.577188 20.858191 16.260297
63 69.577188 19.388597 15.430053
64 69.577188 21.598173 16.24711
65 69.577188 23.005461 15.063284
66 69.577188 19.818866 15.193981
67 69.577188 20.001522 15.117882
68 69.577188 21.554792 15.1675
69 69.577188 21.446468 16.377791
70 76.749979 22.478439 16.329982
71 76.749979 23.219841 16.767568
72 76.749979 23.716907 16.826466
73 76.749979 24.118933 17.047363
74 76.749979 25.69268 16.107161
75 76.749979 26.204449 16.549998
76 76.749979 24.968579 16.526447
77 76.749979 25.065004 17.067229
78 76.749979 24.811817 16.533492
79 76.749979 25.290407 17.716798
80 76.749979 25.372024 16.026496
81 76.749979 25.505501 16.800702
82 77.016928 25.066638 17.945373
83 77.016928 27.952708 16.562703
84 77.016928 26.976761 16.850128
85 77.016928 28.078684 15.508623
86 77.016928 25.698916 18.414823
87 77.016928 27.317581 17.573941
88 77.016928 27.654261 17.55299
89 77.016928 24.969065 17.306326
90 77.016928 26.94772 16.39697
91 77.016928 28.434119 17.818313
92 77.016928 26.882363 17.887114
93 77.016928 26.55737 17.974684
94 77.016928 26.350167 18.194712
95 77.016928 28.061064 17.46183
96 77.016928 27.938631 18.012415
97 77.016928 28.95593 17.959111
98 77.016928 30.317392 19.274721
99 77.016928 30.297511 19.105282
